District,Auburn,Bellevue,Enumclaw,Federal Way,Fife,Highline,Issaquah,Kent,Lake Washington,Mercer Island,Northshore,Renton,Riverview,Seattle,Shoreline,Skykomish,Snoqualmie Valley,Tahoma,Tukwila,Vashon Island,Total_Houses
98001,0.2280202685,0,0,0.6803271402,0.08845230687,0,0,0.00320028447,0,0,0,0,0,0,0,0,0,0,0,0,1
98002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98003,0,0,0,0.987849859,0.01215014103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98004,0,0.9581120232,0,0,0,0,0,0,0.04188797682,0,0,0,0,0,0,0,0,0,0,0,1
98005,0,0.9708451224,0,0,0,0,0,0,0.0291548776,0,0,0,0,0,0,0,0,0,0,0,1
98006,0,0.707868404,0,0,0,0,0.2200705493,0,0,0,0,0.07206104672,0,0,0,0,0,0,0,0,1
98007,0,0.9786285922,0,0,0,0,0,0,0.02137140778,0,0,0,0,0,0,0,0,0,0,0,1
98008,0,0.9720477387,0,0,0,0,0.02795226131,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98010,0.002034587996,0,0.5518819939,0,0,0,0,0.3107833164,0,0,0,0,0,0,0,0,0,0.1353001017,0,0,1
98011,0,0,0,0,0,0,0,0,0.2015657125,0,0.7984342875,0,0,0,0,0,0,0,0,0,1
98014,0,0,0,0,0,0,0,0,0,0,0,0,0.8981375903,0,0,0,0.1018624097,0,0,0,1
98019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
98022,0.003021148036,0,0.996978852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98024,0,0,0,0,0,0,0,0,0,0,0,0,0.01736420303,0,0,0,0.982635797,0,0,0,1
98027,0,0.003022759602,0,0,0,0,0.9964438122,0,0,0,0,0,0,0,0,0,0,0.000533428165,0,0,1
98028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
98029,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98030,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
98031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
98032,0.001453186631,0,0,0.3020552211,0,0.05577468687,0,0.6402325099,0,0,0,0.0004843955436,0,0,0,0,0,0,0,0,1
98033,0,0.001625037617,0,0,0,0,0,0,0.9983749624,0,0,0,0,0,0,0,0,0,0,0,1
98034,0,0,0,0,0,0,0,0,0.9597315436,0,0.04026845638,0,0,0,0,0,0,0,0,0,1
98038,0,0,0,0,0,0,0.003337138843,0.005269166593,0,0,0,0,0,0,0,0,0,0.9913936946,0,0,1
98039,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
98042,0.07633128982,0,0,0,0,0,0,0.91886044,0,0,0,0,0,0,0,0,0,0.004808270225,0,0,1
98045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
