zipcode,Auburn,Bellevue,Enumclaw,Federal Way,Fife,Highline,Issaquah,Kent,Lake Washington,Mercer Island,Northshore,Renton,Riverview,Seattle,Shoreline,Skykomish,Snoqualmie Valley,Tahoma,Tukwila,Vashon Island
98001,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,
98002,TRUE,,,,,,,,,,,,,,,,,,,
98003,,,,TRUE,TRUE,,,,,,,,,,,,,,,
98004,,TRUE,,,,,,,TRUE,,,,,,,,,,,
98005,,TRUE,,,,,,,TRUE,,,,,,,,,,,
98006,,TRUE,,,,,TRUE,,,,,,,,,,,,,
98007,,TRUE,,,,,,,TRUE,,,,,,,,,,,
98008,,TRUE,,,,,TRUE,,,,,,,,,,,,,
98010,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,
98011,,,,,,,,,TRUE,,TRUE,,,,,,,,,
98014,,,,,,,,,,,,,,,,,TRUE,,,
98019,,,,,,,,,,,,,TRUE,,,,,,,
98022,TRUE,,TRUE,,,,,,,,,,,,,,,,,
98023,,,,TRUE,,,,,,,,,,,,,,,,
98024,,,,,,,,,,,,,TRUE,,,,TRUE,,,
98027,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,
98028,,,,,,,,,,,TRUE,,,,,,,,,
98029,,,,,,,TRUE,,,,,,,,,,,,,
98030,,,,,,,,TRUE,,,,,,,,,,,,
98031,,,,,,,,TRUE,,,,,,,,,,,,
98032,TRUE,,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,,
98033,,TRUE,,,,,,,TRUE,,,,,,,,,,,
98034,,,,,,,,,TRUE,,TRUE,,,,,,,,,
98038,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,
98039,,TRUE,,,,,,,,,,,,,,,,,,
98040,,,,,,,,,,TRUE,,,,,,,,,,
98042,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,,
98045,,,,,,,,,,,,,,,,,TRUE,,,
98052,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,
98053,,,,,,,,,TRUE,,,,,,,,TRUE,,,
98055,,,,,,,,TRUE,,,,TRUE,,,,,,,,
98056,,,,,,,TRUE,,,,,TRUE,,,,,,,,
98058,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,
98059,,,,,,,TRUE,,,,,TRUE,,,,,,,,
98065,,,,,,,TRUE,,,,,TRUE,,,,,,,,
98070,,,,,,,,,,,,TRUE,,,,,,,,TRUE
98072,,,,,,,,,TRUE,,TRUE,TRUE,,,,,,,,
98074,,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,
98075,,,,,,,TRUE,,,,,,,,,,,,,
98077,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,
98092,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,
98102,,,,,,,,,,,,,,TRUE,,,,,,
98103,,,,,,,,,,,,,,TRUE,,,,,,
98105,,,,,,,,,,,,,,TRUE,,,,,,
98106,,,,,,TRUE,,,,,,,,TRUE,,,,,,
98107,,,,,,,,,,,,,,TRUE,,,,,,
98108,,,,,,TRUE,,,,,,,,TRUE,,,,,,
98109,,,,,,,,,,,,,,TRUE,,,,,,
98112,,,,,,,,,,,,,,TRUE,,,,,,
98115,,,,,,,,,,,,,,TRUE,,,,,,
98116,,,,,,,,,,,,,,TRUE,,,,,,
98117,,,,,,,,,,,,,,TRUE,,,,,,
98118,,,,,,,,,,,,,,TRUE,,,,,,
98119,,,,,,,,,,,,,,TRUE,,,,,,
98122,,,,,,,,,,,,,,TRUE,,,,,,
98125,,,,,,,,,,,,,,TRUE,,,,,,
98126,,,,,,TRUE,,,,,,,,TRUE,,,,,,
98133,,,,,,,,,,,,,,TRUE,TRUE,,,,,
98136,,,,,,,,,,,,,,TRUE,,,,,,
98144,,,,,,,,,,,,,,TRUE,,,,,,
98146,,,,,,TRUE,,,,,,,,,,,,,,
98148,,,,,,TRUE,,,,,,,,,,,,,,
98155,,,,,,,,,,TRUE,,,,,TRUE,,,,,
98166,,,,,,TRUE,,,,,,,,,,,,,,
98168,,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,
98177,,,,,,,,,,,,,,TRUE,TRUE,,,,,
98178,,,,,,,,,,,,,,TRUE,,,,,TRUE,
98188,,,,,,TRUE,,TRUE,,,,,,,,,,,TRUE,
98198,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
98199,,,,,,,,,,,,,,TRUE,,,,,,
